zone_id,latitude,longitude,historical_job_volume,avg_response_time_minutes,estimated_revenue_exposure,rainfall_24hr,wind_speed_max,storm_severity_score,moisture_sensor_avg,humidity_sensor_avg,sensor_alert_count,crew_availability,equipment_units_available,current_workload,high_demand_next_24hr
ZONE_014,36.012339110678276,-86.44944350656625,137,32,62679,6.027025482071533,55.36798966945997,0.6791023191444896,58.919757500258974,99.78119762921631,4,7,4,12,0
ZONE_015,35.981824967207096,-86.67657511653645,119,168,35977,3.010076684247326,44.0230775677845,0.7891712386073383,91.58248998680922,65.15365072318698,8,4,2,4,1
ZONE_016,35.98340450985343,-86.36710123275597,91,166,54115,0.6680057335893501,62.92387938017295,0.4984421989290573,66.18141963225929,71.67695121240307,5,0,3,12,1
ZONE_017,36.104242242959536,-86.45522630003116,63,139,65890,6.217175327419494,44.012262583399504,0.08692028808742369,20.520823663752765,34.69535341718992,9,6,5,16,0
ZONE_018,36.32475643163224,-87.25745892344816,172,167,71387,4.46723399788644,68.9136125238905,0.5371065418185478,94.58489112521276,82.49723292794245,11,4,6,17,1
ZONE_019,36.231945018642115,-86.33967330196303,198,116,23071,3.3937760739758103,46.39301290808642,0.5868411180208791,66.4937247764276,44.693391516691,6,5,7,7,0
ZONE_020,36.09122914019804,-86.79885508550966,178,122,64275,7.250835080757888,47.07034786515397,0.74543947418433,40.14150531913775,92.86380026084996,4,5,6,12,0
ZONE_021,36.41185289472238,-86.45032779828672,170,90,16938,0.8895798584492107,70.74902019937588,0.4316595462296794,22.53448653970485,44.3597748337405,9,7,5,18,0
ZONE_022,35.939493860652036,-86.33508131009947,77,56,40195,3.941000834326873,35.26121496592978,0.12758030279556376,81.46226703432664,43.34814044645666,5,8,7,2,0
ZONE_023,36.09214464853522,-87.08659548253658,42,110,9000,0.09082915813935255,15.051142133798056,0.28377590579872447,65.80654803356622,32.55847674936664,4,1,2,7,0
ZONE_024,36.166361843293686,-87.35693249811402,151,75,43304,3.74928513595301,7.158700723500423,0.3630822963986351,58.01149827786894,63.04468615769995,10,8,5,1,0
ZONE_025,36.256069984217035,-87.20368428869547,30,177,74449,0.4504262054546988,61.63529417552142,0.6459172413316012,90.45033247458619,69.53887932838315,8,9,4,7,0
ZONE_026,36.58517596139301,-86.94475987478587,57,87,25764,0.9505433301445754,51.52321635150985,0.5707783046689119,80.97374901020777,34.599604759984665,5,8,1,12,0
ZONE_027,35.999673782158354,-86.43658080430076,157,149,43494,0.940209974216839,57.80598260744177,0.35609672589784624,23.650739175947606,84.28693316865073,10,9,0,12,0
ZONE_028,36.31423443841361,-86.38105024176676,137,174,8373,5.1936824169285085,20.972312113168307,0.9865152487929797,38.05498610159934,61.73021843236194,7,9,6,0,0
ZONE_029,36.39241456886204,-87.49096223030945,145,82,17161,5.968359034123386,15.227860669007732,0.6057748193568872,32.36402258330192,66.7073188529306,1,6,3,5,0
ZONE_030,35.846450412719996,-86.83602850664917,144,82,32350,4.666950120777277,6.0908499250911445,0.23722679173599448,76.95516633154092,60.853392285675966,11,0,3,18,1
ZONE_031,36.407544851901434,-86.95736569590659,154,110,30351,7.697380387796335,31.294066910494774,0.10178247262040374,13.017919126220145,58.05341426127282,8,6,2,15,0
ZONE_032,35.97052412368729,-87.21125984638805,137,73,20305,2.9989646361896325,49.24382651409748,0.15285913918433203,61.29007163841849,69.17482319157526,4,9,7,7,0
ZONE_033,35.865051592985274,-87.34417502246622,42,94,70953,2.285696690254886,34.41830338247992,0.24595772838450813,78.62128171666215,40.86681721514988,6,4,3,0,0
ZONE_034,36.74888553725333,-87.06110027717529,185,39,62458,6.948793025515682,37.81061915177968,0.16068137325955567,88.90890730855745,42.73496913466898,9,5,4,15,1
ZONE_035,36.76563203307455,-86.27421738491373,196,78,25358,1.788766708155621,72.81190208703113,0.18656702405130576,40.78735738443167,90.32499347094621,0,9,6,8,0
ZONE_036,36.608397348116455,-87.07983618837302,124,125,8267,7.7057803155248905,31.119160026747526,0.2850951686938471,83.91315742048116,96.2280823493543,9,6,5,12,1
ZONE_037,36.10461376917337,-86.82557219173363,128,32,43513,0.09723579751853073,43.54921168698581,0.17337359529475482,19.95685632596865,56.131652139582705,4,4,4,10,0
ZONE_038,35.89767211400638,-86.58607535343627,31,77,31092,7.759030613661112,63.77397595558573,0.8967654246264252,86.18070625610663,48.952127120048765,11,6,2,12,1
ZONE_039,36.48423302651216,-87.02728151690692,167,84,16338,0.3452792956046089,34.74070867409526,0.08023374566164221,21.47397960987842,75.07996802673111,9,8,4,9,0
ZONE_040,36.2401524937396,-86.23668329246276,47,132,5412,7.129144909584569,51.65650251709051,0.5245113895702547,45.755856150433054,58.61139197686675,1,2,5,3,0
ZONE_041,35.92203823484478,-86.24881851657526,118,29,12543,4.221608872690399,69.67727815600588,0.4103968269896615,81.75658292015983,31.77704489622414,11,7,1,5,1
ZONE_042,36.295176910111266,-87.17268301542703,60,127,38496,7.943718368954403,76.21404677432317,0.9823786169086064,23.492568461389638,40.93068181563332,5,1,2,6,1
ZONE_043,35.834388521115216,-86.8535769423399,191,30,65692,0.5903725178831909,16.030511069677843,0.11203890216805235,30.632625570937734,80.11805601931783,10,6,1,4,0
ZONE_044,36.70932040207878,-87.1088581972382,17,133,49425,4.430834275210566,74.49407188711209,0.39785559904574164,75.00273115537597,76.12467593371059,0,1,0,10,1
ZONE_045,36.05877998160001,-87.12970735730929,36,140,43756,7.754420284952792,41.90872198096537,0.9694704332753689,74.80328828914669,31.896719475243845,2,3,1,12,1
ZONE_046,36.46252228435398,-87.4520469684391,36,118,23888,4.1847827533611905,24.368329122421876,0.8655071258939803,67.70328695967676,45.53805133530646,4,6,0,18,1
ZONE_047,36.111711076089406,-86.70756636582614,30,71,40735,5.0351891050821,39.4351817178696,0.8170720709492799,72.455360002039,46.175235761165,3,2,0,9,1
ZONE_048,36.32006802117781,-86.84651726980248,39,123,52295,5.565989511876937,78.50244314641078,0.25790282704493983,58.84519990128366,77.03249205191099,2,1,1,9,0
ZONE_049,36.34671027934328,-87.43307762337501,106,79,22955,3.636328518142186,41.94635704946522,0.17088758739006582,32.66191530162575,31.37973764280549,9,9,2,10,0
ZONE_050,35.98485445552552,-87.1377595964924,37,76,42841,5.0204646406725075,29.656370771563115,0.668643219924431,41.112639415352746,37.28760073892017,4,6,7,6,0
ZONE_051,36.76958462776456,-86.31925434824335,120,168,70510,4.674514495384802,52.50506407375443,0.9293759891275858,26.34379451212831,85.99412597612326,10,0,5,17,1
ZONE_052,36.57513282336111,-87.18856954213294,70,37,39911,7.209264083927912,23.01092140836448,0.5567628930139298,91.76055052002656,42.49812634380335,7,7,4,3,1
ZONE_053,36.739498941564186,-87.31163666628142,57,138,64031,0.36357104273166296,10.689749608149793,0.5716126894698998,62.50526152895084,75.69222754963123,10,2,4,1,0
ZONE_054,36.694827350427644,-86.86371141163917,156,148,12357,2.2477055167378426,14.665979143298692,0.2799790936602842,46.07662750872759,46.67279467327086,3,1,5,13,0
ZONE_055,36.39789997881108,-86.21865440965622,13,130,37479,7.60329187261247,14.603437921832933,0.7694929331919369,51.58052232797194,36.960897493154164,0,2,6,12,0
ZONE_056,36.721874235023115,-87.18532814703505,44,171,66476,7.1221102711273305,16.392702013422074,0.18704374855752337,95.25550056506339,47.02205336996178,10,4,6,11,0
ZONE_057,35.88849250205192,-86.62622378837236,58,169,49811,3.6452540222857035,15.41203794870576,0.3236792364042437,23.801626280447216,80.55868522989614,6,7,0,6,0
ZONE_058,35.99598286241914,-86.50989450007268,26,144,41208,4.961060782412294,53.06560586024109,0.4254364386164168,62.76068488151175,89.89875276744,7,9,0,1,0
ZONE_059,35.845227288910536,-87.19107119280989,181,87,25150,2.2190494638490614,18.641006329935863,0.507610378684455,55.52998109960194,88.11539051968941,2,6,2,12,0
ZONE_060,36.12533033076326,-86.55331874680458,167,43,48286,1.5049692777900905,30.92504624928974,0.24240973241508024,65.0308811891183,57.80284707329184,5,6,3,13,0
ZONE_061,36.18867728968948,-87.02188192746497,55,116,73450,3.7095872395198572,72.25913074295089,0.11483682473920354,11.629916543875646,76.76595955994523,1,6,1,16,0
ZONE_062,36.07134903177389,-86.67800242022835,126,82,26352,2.8268178242084225,40.54712301971543,0.6106200424416326,88.49115180497364,44.348900679107466,6,7,0,8,1
ZONE_063,36.628737509151925,-86.67641137601083,15,114,60069,4.669248894806977,55.06683038907704,0.28863055324025577,93.89064542352511,50.52034111827093,7,0,4,16,1
ZONE_064,36.15675332669359,-86.80349291070281,108,141,19397,0.6218770957198787,17.923990340122238,0.5812382214226123,60.861986523028804,92.74350729647838,5,3,2,7,0
ZONE_065,36.08093450968738,-87.38262329892927,133,86,46555,7.795158461329332,19.421676410650306,0.1543627152742023,72.6985741489203,30.910134645751523,5,5,1,1,0
ZONE_066,36.342696083158245,-86.414106755734,46,47,51959,7.889685955836823,8.065146219985914,0.4811401018548175,93.02494430595661,35.98559715981277,4,8,2,12,0
ZONE_067,35.94092422497476,-87.08298591553674,33,151,5728,5.585293712157961,17.67012973041234,0.5325894325515859,73.65147708820587,44.552037860221915,7,1,1,2,1
ZONE_068,36.60219698075404,-87.25752593648019,102,161,55517,4.288770930752963,25.894275427396895,0.05182353682242691,23.72851386228352,31.85725427116738,0,0,1,15,0
ZONE_069,35.87455064367977,-87.4469923159788,55,164,71234,2.476220930290622,18.275786320756012,0.3366042781939206,61.86595241501318,42.70048045628581,9,9,5,5,0
ZONE_070,36.78688693660052,-86.73183917385529,190,153,44954,6.510360157655589,11.652690031779171,0.13441467693897424,64.60435417445703,70.81290926787845,3,1,0,18,0
ZONE_071,36.57224476929665,-86.61916632960504,104,82,52280,5.477849380431034,14.047690332545061,0.06337497047276774,48.17176041721474,59.499718541474856,3,6,7,6,0
ZONE_072,35.99871568153417,-87.47843582239379,108,146,21779,1.3009355147591304,39.55840760245443,0.9899602323899452,76.27998120622506,92.48701977538823,2,2,2,9,1
ZONE_073,35.8055221171236,-86.83427902421094,197,25,68932,7.28741747595074,20.475028880434436,0.32235384497472297,94.09303132921134,87.22104932169086,2,9,7,8,0
ZONE_074,36.61546142845483,-87.20555549224268,125,58,29466,6.580297943385352,32.32023957860566,0.8098744458546349,93.30116616160987,53.927214618851316,3,1,2,1,1
ZONE_075,36.506857343847614,-86.66127537246771,169,120,41939,7.598399306335392,42.75629531411427,0.25464065476376385,50.57554342637189,48.15964034019048,10,6,5,14,0
ZONE_076,36.529007168040984,-87.2733236422935,170,150,74896,5.80575606710688,56.7796121472024,0.6815027222239293,20.19142412566797,56.57846857170868,0,1,4,4,0
ZONE_077,36.57127034668594,-86.6017809404668,76,142,40270,4.907321567486319,7.94841048808242,0.7602278598896866,98.63570790661011,71.32064597603654,10,2,7,3,1
ZONE_078,35.87404465173409,-86.9972440498093,137,72,64163,3.345944290324951,64.9557799181782,0.5956387406078443,85.50082778013407,48.764454857601336,10,6,4,19,1
ZONE_079,36.15846572854427,-86.28225101464224,27,113,56934,7.461827866832106,52.09252921181808,0.47157618855015837,21.219641308294015,73.69042354943937,1,3,6,3,0
ZONE_080,35.91586905952513,-87.32122277261021,34,141,69895,6.928511116003267,11.131927396165393,0.41184091414726853,92.87576943556351,58.65881565338683,8,0,0,17,1
ZONE_081,36.66310342587559,-87.05661374363467,63,153,37307,0.36174936084951526,70.51839680800829,0.3488682665429953,88.29067258559155,68.64330265963861,9,4,0,3,1
ZONE_082,36.423298126827554,-87.35248442238723,67,40,59098,0.21093579597801604,74.065430039886,0.9295291442478258,56.69542514134649,60.52885703947217,1,8,3,16,0
ZONE_083,36.13089802485265,-86.29789829623788,76,93,65921,3.011706935024397,9.580846989114782,0.8306194077877291,63.21478921704363,50.61260316793424,4,7,5,11,0
ZONE_084,35.86355835028602,-86.35945884060473,113,46,10486,6.484426646254663,25.76582361104028,0.9650269106665126,45.910243348311724,96.39173148735097,8,8,4,16,1
ZONE_085,36.11098232171566,-87.1646758839703,183,117,13335,7.898209034519556,65.4650959844796,0.12429722348554473,14.928547493982819,83.45240559118326,8,9,1,9,0
ZONE_086,36.12518332202674,-86.64202074015557,33,100,16130,1.2033351288282255,61.11947677877438,0.7308674752036443,40.16775174813108,39.80792230365168,7,8,2,0,0
ZONE_087,36.529606178338064,-86.43761113973842,123,178,65566,4.753045722817081,18.8390764517283,0.9383404568210378,82.25681037382103,90.79275831285389,0,6,0,17,1
ZONE_088,36.43755747135521,-86.7782389449207,41,168,71703,3.047126853048172,20.701199250253275,0.18123306616566015,10.416882070414257,64.12018387746596,0,3,7,17,0
ZONE_089,36.68721274257632,-86.8114542481372,184,110,32192,7.759315182516826,32.78540770935365,0.0664962673667775,40.014925452202974,92.61865588258641,8,4,2,13,0
ZONE_090,36.27221492516195,-87.18559202182941,95,53,6062,6.7369513850856695,41.3392238893266,0.741120649290059,45.8351824231849,85.98986791631206,10,0,2,14,1
ZONE_091,35.9195942459383,-87.37896640185234,160,93,26545,6.706629637689103,51.3691078647722,0.5744731131799119,58.36560426441306,59.764945312846336,7,0,3,11,1
ZONE_092,36.513244787222995,-86.33361951466068,136,71,26689,3.7495452783597623,32.668522967732926,0.8418287767582721,92.78700547714844,31.57285158240822,9,2,4,3,1
ZONE_093,36.56078504861689,-86.32945652568768,164,118,16174,3.3185560187013214,39.69010370998609,0.1397723766262895,41.17113949293651,48.80741515694623,8,7,0,2,0
ZONE_094,36.36127719756949,-86.67696810554476,139,168,14348,2.18725657544565,61.06032036003174,0.7952673118598902,41.22578817066049,67.91439502626068,6,1,2,19,1
ZONE_095,36.57096717995456,-87.05926127163669,26,109,28714,0.4510039732074169,7.751240216794843,0.20162732004774453,76.37511232987735,74.34347538783031,2,3,0,11,0
ZONE_096,36.29379559636439,-87.04602755300354,113,63,43102,6.917779010040426,23.932770825801555,0.1636559428657045,50.69961468008265,48.05213798032416,2,1,1,6,0
ZONE_097,36.32273282938199,-86.55625761746869,170,124,11801,6.5032080730406205,58.501218941341435,0.16426579793099294,30.214434064598375,39.75492518509769,1,4,3,10,0
ZONE_098,36.227541018358544,-86.33375666206165,146,57,53136,7.997741386289045,72.14051282653995,0.8145747202313821,50.7195564519424,88.44511657595095,4,8,1,0,1
ZONE_099,35.825419126744094,-86.34678764845535,52,125,28625,7.973094696591243,43.37580815867496,0.6651972206962001,22.677131834181985,98.90815264924865,11,0,0,5,1
ZONE_100,35.9078914269933,-86.4861617903851,185,47,49261,4.44345364482102,44.908511394898674,0.5230654247691193,25.874828785560098,66.79831276118801,11,4,6,14,0
